sample	fq1	fq2
20240627_meth_test-13	20240627_meth_test-13.fq.gz	
20240627_meth_test-14	20240627_meth_test-14.fq.gz	
20240627_meth_test-19	20240627_meth_test-19.fq.gz	
20240627_meth_test-3	20240627_meth_test-3.fq.gz	
20240627_meth_test-4	20240627_meth_test-4.fq.gz	
KY-V-SE75-10M	KY-V-SE75-10M.fq.gz	
PJ-V-SE75-10M	PJ-V-SE75-10M.fq.gz	
SFL-V-SE75-10M	SFL-V-SE75-10M.fq.gz	
V7323-SE75-10M	V7323-SE75-10M.fq.gz	
V7347-SE75-10M	V7347-SE75-10M.fq.gz	
V7354-SE75-10M	V7354-SE75-10M.fq.gz	
V7363-SE75-10M	V7363-SE75-10M.fq.gz	
WY-1-SE75-10M	WY-1-SE75-10M.fq.gz	
WY-2-SE75-10M	WY-2-SE75-10M.fq.gz	
WY-3-SE75-10M	WY-3-SE75-10M.fq.gz	
WY-6-SE75-10M	WY-6-SE75-10M.fq.gz	
WY-V-SE75-10M	WY-V-SE75-10M.fq.gz	
